2019-02-27 16:25:50 startup archives install
2019-02-27 16:25:50 install base-passwd:armhf <none> 3.5.39
2019-02-27 16:25:50 status half-installed base-passwd:armhf 3.5.39
2019-02-27 16:25:50 status unpacked base-passwd:armhf 3.5.39
2019-02-27 16:25:50 status unpacked base-passwd:armhf 3.5.39
2019-02-27 16:25:50 configure base-passwd:armhf 3.5.39 3.5.39
2019-02-27 16:25:50 status unpacked base-passwd:armhf 3.5.39
2019-02-27 16:25:50 status half-configured base-passwd:armhf 3.5.39
2019-02-27 16:25:51 status installed base-passwd:armhf 3.5.39
2019-02-27 16:25:51 startup archives install
2019-02-27 16:25:51 install base-files:armhf <none> 9.4ubuntu4
2019-02-27 16:25:51 status half-installed base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status unpacked base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status half-configured base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 status installed base-files:armhf 9.4ubuntu4
2019-02-27 16:25:51 startup archives install
2019-02-27 16:25:51 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2019-02-27 16:25:51 status half-configured dpkg 1.18.4ubuntu1
2019-02-27 16:25:51 status unpacked dpkg 1.18.4ubuntu1
2019-02-27 16:25:51 status half-installed dpkg 1.18.4ubuntu1
